"Внутренний идентификатор";"Код товара";"Название товара";"Тип товара";Бренд;Артикул;Штрихкод;Категория;Ссылка;стиль;форма;"цвет арматуры";"материал арматуры";"цвет плафона";"материал плафона";ширина/диаметр;длина;высота;"тип лампы";"мощность общая";напряжение;"тип цоколя";"степень защиты ip";"цвет свечения";"место установки";"страна происхождения";коллекция;"Назначение помещения";"форма плафона";"лампы в комплекте";"вес коробки";"количество грузовых мест";"объем коробки";"площадь освещения";"размер коробки (ДхШхВ)";"световой поток";"Запрет для МП";"Полное наименование Denkirs";Инструкция;"3D модель";диммируемость;"материал декора";"угол рассеивания света";цветопередача;"мощность лампы";"количество ламп";"количество фаз";"тип монтажа";"способ крепления";"ies файл";выключатель;"вид управления";поворотный;"вид выключателя";"пульт управления";"датчик движения";особенности;подсветка;"монтажное отверстие (длина)";"монтажное отверстие (ширина)";магнитный;"регулировка по высоте";"управляется голосовыми помощниками";"управляется приложениями";"управляется экосистемами умного дома";"высота минимальная";"тип подвеса";"длина цепи";"монтажное отверстие (диаметр)";"протоколы связи";"цвет декора";"диапазон рабочих температур";"мощность выходная";"датчик освещенности";филамент;Видео;Картинка;Картинка;Картинка;Картинка;Картинка;Картинка;Картинка;Картинка;Картинка;Картинка;Картинка;Картинка;Картинка;Картинка;Картинка;Картинка
679471;679471;"Бра Denkirs DK5010-BK";Бра;Denkirs;DK5010-BK;4631163598606;"Свет для дома / Настенные бра";https://divine-light.ru/catalog/nastennye_i_bra/dk5010_bk_bra_600_mm_3000k_ip20_7_vt_chernyy_alyuminiy/;хай-тек;овал;черный;алюминий;черный;алюминий;16;60;600;LED;5;220;"встроенный светодиод";20;"белый (теплый)";"На стену";Словения;"Stang | СТЭНГ";гостиная;Прямоугольный;Да;0.729;1;0.011;1;690х150х110;360;Нет;"Настенный светильник Denkirs DK5010-BK";"https://divine-light.ru/files/upload/instruction/denkirs/DK5010-BK/Stang DK5010-5012-5014.pdf";https://divine-light.ru/upload/3d/Denkirs/DK5010-BK.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://img.divine-light.ru/1/645/001645584_800_800.jpg;https://img.divine-light.ru/1/645/001645589_800_800.jpg;https://img.divine-light.ru/1/645/001645590_800_800.jpg;https://img.divine-light.ru/1/645/001645591_800_800.jpg;https://img.divine-light.ru/1/645/001645585_800_800.jpg;https://img.divine-light.ru/1/645/001645586_800_800.jpg;https://img.divine-light.ru/1/645/001645587_800_800.jpg;https://img.divine-light.ru/1/645/001645588_800_800.jpg;;;;;;;;
679472;679472;"Бра Denkirs DK5012-BK";Бра;Denkirs;DK5012-BK;4631163598613;"Свет для дома / Настенные бра";https://divine-light.ru/catalog/nastennye_i_bra/dk5012_bk_bra_800_mm_3000k_ip20_9_vt_chernyy_alyuminiy/;хай-тек;овал;черный;алюминий;черный;алюминий;16;60;800;LED;7;220;"встроенный светодиод";20;"белый (теплый)";"На стену";Словения;"Stang | СТЭНГ";гостиная;Прямоугольный;Да;0.816;1;0.015;2;880х150х110;475;Нет;"Настенный светильник Denkirs DK5012-BK";"https://divine-light.ru/files/upload/instruction/denkirs/DK5012-BK/Stang DK5010-5012-5014.pdf";https://divine-light.ru/upload/3d/Denkirs/DK5012-BK.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://img.divine-light.ru/1/645/001645594_800_800.jpg;https://img.divine-light.ru/1/645/001645595_800_800.jpg;https://img.divine-light.ru/1/645/001645596_800_800.jpg;https://img.divine-light.ru/1/645/001645597_800_800.jpg;https://img.divine-light.ru/1/645/001645598_800_800.jpg;https://img.divine-light.ru/1/645/001645599_800_800.jpg;https://img.divine-light.ru/1/645/001645600_800_800.jpg;https://img.divine-light.ru/1/645/001645601_800_800.jpg;https://img.divine-light.ru/1/645/001645602_800_800.jpg;;;;;;;
679473;679473;"Бра Denkirs DK5014-BK";Бра;Denkirs;DK5014-BK;4631163598620;"Свет для дома / Настенные бра";https://divine-light.ru/catalog/nastennye_i_bra/dk5014_bk_bra_1000_mm_3000k_ip20_20_vt_chernyy_alyuminiy/;хай-тек;овал;черный;алюминий;черный;алюминий;16;60;1000;LED;12;220;"встроенный светодиод";20;"белый (теплый)";"На стену";Словения;"Stang | СТЭНГ";гостиная;Прямоугольный;Да;0.931;1;0.018;4;1070х150х110;740;Нет;"Настенный светильник Denkirs DK5014-BK";"https://divine-light.ru/files/upload/instruction/denkirs/DK5014-BK/Stang DK5010-5012-5014.pdf";https://divine-light.ru/upload/3d/Denkirs/DK5014-BK.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://img.divine-light.ru/1/645/001645610_800_800.jpg;https://img.divine-light.ru/1/645/001645615_800_800.jpg;https://img.divine-light.ru/1/645/001645616_800_800.jpg;https://img.divine-light.ru/1/645/001645617_800_800.jpg;https://img.divine-light.ru/1/645/001645618_800_800.jpg;https://img.divine-light.ru/1/645/001645611_800_800.jpg;https://img.divine-light.ru/1/645/001645612_800_800.jpg;https://img.divine-light.ru/1/645/001645613_800_800.jpg;https://img.divine-light.ru/1/645/001645614_800_800.jpg;;;;;;;
712867;712867;"Бра Denkirs DK5010-SG";Бра;Denkirs;DK5010-SG;4631168647804;"Свет для дома / Настенные бра";https://divine-light.ru/catalog/nastennye_i_bra/dk5010_sg_bra_600_mm_3000k_ip20_5_vt_matovoe_zoloto/;хай-тек;овал;"золото матовое";алюминий;"золото матовое";алюминий;16;60;600;LED;5;220;"встроенный светодиод";20;"белый (теплый)";"На стену";Словения;"Stang | СТЭНГ";гостиная;Прямоугольный;Да;0.729;1;0.011;1;690х150х110;360;Нет;"Настенный светильник Denkirs DK5010-SG";"https://divine-light.ru/files/upload/instruction/denkirs/DK5010-SG/Stang DK5010-5012-5014.pdf";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://img.divine-light.ru/0/833/000833168_800_800.jpg;https://img.divine-light.ru/0/833/000833170_800_800.jpg;https://img.divine-light.ru/1/645/001645592_800_800.jpg;https://img.divine-light.ru/1/645/001645593_800_800.jpg;https://img.divine-light.ru/0/833/000833171_800_800.jpg;https://img.divine-light.ru/0/833/000833172_800_800.jpg;https://img.divine-light.ru/0/833/000833173_800_800.jpg;;;;;;;;;
712868;712868;"Бра Denkirs DK5012-SG";Бра;Denkirs;DK5012-SG;4631168647811;"Свет для дома / Настенные бра";https://divine-light.ru/catalog/nastennye_i_bra/dk5012_sg_bra_800_mm_3000k_ip20_7_vt_matovoe_zoloto/;хай-тек;овал;"золото матовое";алюминий;"золото матовое";алюминий;16;60;800;LED;7;220;"встроенный светодиод";20;"белый (теплый)";"На стену";Словения;"Stang | СТЭНГ";гостиная;Прямоугольный;Да;0.816;1;0.015;2;880х150х110;475;Нет;"Настенный светильник Denkirs DK5012-SG";"https://divine-light.ru/files/upload/instruction/denkirs/DK5012-SG/Stang DK5010-5012-5014.pdf";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://img.divine-light.ru/1/645/001645603_800_800.jpg;https://img.divine-light.ru/1/645/001645604_800_800.jpg;https://img.divine-light.ru/1/645/001645605_800_800.jpg;https://img.divine-light.ru/1/645/001645606_800_800.jpg;https://img.divine-light.ru/1/645/001645607_800_800.jpg;https://img.divine-light.ru/1/645/001645608_800_800.jpg;https://img.divine-light.ru/1/645/001645609_800_800.jpg;;;;;;;;;
712869;712869;"Бра Denkirs DK5014-SG";Бра;Denkirs;DK5014-SG;4631168647828;"Свет для дома / Настенные бра";https://divine-light.ru/catalog/nastennye_i_bra/dk5014_sg_bra_1000_mm_3000k_ip20_12_vt_matovoe_zoloto/;хай-тек;овал;"золото матовое";алюминий;"золото матовое";алюминий;16;60;1000;LED;12;220;"встроенный светодиод";20;"белый (теплый)";"На стену";Словения;"Stang | СТЭНГ";гостиная;Прямоугольный;Да;0.931;1;0.018;4;1070х150х110;740;Нет;"Настенный светильник Denkirs DK5014-SG";"https://divine-light.ru/files/upload/instruction/denkirs/DK5014-SG/Stang DK5010-5012-5014.pdf";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://img.divine-light.ru/1/645/001645619_800_800.jpg;https://img.divine-light.ru/1/645/001645624_800_800.jpg;https://img.divine-light.ru/1/645/001645625_800_800.jpg;https://img.divine-light.ru/1/645/001645620_800_800.jpg;https://img.divine-light.ru/1/645/001645621_800_800.jpg;https://img.divine-light.ru/1/645/001645622_800_800.jpg;https://img.divine-light.ru/1/645/001645623_800_800.jpg;;;;;;;;;
732102;732102;"Бра Denkirs DK7503-BK";Бра;Denkirs;DK7503-BK;4631170485777;"Свет для дома / Настенные бра";https://divine-light.ru/catalog/nastennye_i_bra/dk7503-bk-cvetilnik-tros-v-opletke-flex-so-svetodiodom-3m-24v-dc-52w-360-3000k-ip20-chernyy_732102/;современный;овал;черный;алюминий;белый;силикон;;3000;;LED;52;24;"встроенный светодиод";20;"белый (теплый)";;Словения;"Flex | ФЛЕКС";гостиная;Цилиндр;Да;2.06;1;0.0325;17;500х500х130;2310;Да;"Настенный светильник FLEX DK7503-BK";https://divine-light.ru/files/upload/instruction/denkirs/DK7503-BK.pdf;;Да;пластик;360;>90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://img.divine-light.ru/1/281/001281008_800_800.jpg;https://img.divine-light.ru/1/999/001024248_800_800.jpg;https://img.divine-light.ru/1/509/001509957_800_800.jpg;https://img.divine-light.ru/1/999/001024250_800_800.jpg;https://img.divine-light.ru/1/999/001024252_800_800.jpg;;;;;;;;;;;
723061;723061;"Бра Denkirs DK5021-BK";Бра;Denkirs;DK5021-BK;4631169948368;"Свет для дома / Настенные бра";https://divine-light.ru/catalog/nastennye_i_bra/dk5021_bk_nastennyy_svetilnik_ip20_do_15_vt_led_gu10_chernyy_alyuminiy/;современный;овал;черный;алюминий;черный;алюминий;54;;150;LED;15;220;GU10;20;;"На стену";Словения;"Scope | СКОУП";гостиная;Цилиндр;Нет;0.324;1;0.002;1;185х70х185;;Нет;"Настенный светильник Denkirs DK5021-BK";https://divine-light.ru/files/upload/instruction/denkirs/DK5021-BK.pdf;;;;;;15;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://img.divine-light.ru/1/645/001645626_800_800.jpg;https://img.divine-light.ru/1/645/001645631_800_800.jpg;https://img.divine-light.ru/1/645/001645627_800_800.jpg;https://img.divine-light.ru/1/645/001645628_800_800.jpg;https://img.divine-light.ru/1/645/001645629_800_800.jpg;https://img.divine-light.ru/1/645/001645630_800_800.jpg;;;;;;;;;;
723062;723062;"Бра Denkirs DK5021-SG";Бра;Denkirs;DK5021-SG;4631169948375;"Свет для дома / Настенные бра";https://divine-light.ru/catalog/nastennye_i_bra/dk5021_sg_nastennyy_svetilnik_ip20_do_15_vt_led_gu10_matovoe_zoloto_alyuminiy/;современный;овал;золотой;алюминий;золотой;алюминий;54;;150;LED;15;220;GU10;20;;"На стену";Словения;"Scope | СКОУП";гостиная;Цилиндр;Нет;0.324;1;0.002;1;185х70х185;;Нет;"Настенный светильник Denkirs DK5021-SG";https://divine-light.ru/files/upload/instruction/denkirs/DK5021-SG.pdf;;;;;;15;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://img.divine-light.ru/1/645/001645632_800_800.jpg;https://img.divine-light.ru/1/645/001645637_800_800.jpg;https://img.divine-light.ru/1/645/001645633_800_800.jpg;https://img.divine-light.ru/1/645/001645634_800_800.jpg;https://img.divine-light.ru/1/645/001645635_800_800.jpg;https://img.divine-light.ru/1/645/001645636_800_800.jpg;;;;;;;;;;
723063;723063;"Бра Denkirs DK5022-WH";Бра;Denkirs;DK5022-WH;4631169948382;"Свет для дома / Настенные бра";https://divine-light.ru/catalog/nastennye_i_bra/dk5022_wh_nastennyy_svetilnik_ip20_do_15_vt_led_2xgu10_belyy_alyuminiy/;современный;овал;белый;алюминий;белый;алюминий;54;;300;LED;30;220;GU10;20;;"На стену";Словения;"Scope | СКОУП";гостиная;Цилиндр;Нет;0.57;1;0.0015;3;60х80х310;;Нет;"Настенный светильник Denkirs DK5022-WH";;;;;;;15;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://img.divine-light.ru/1/645/001645658_800_800.jpg;https://img.divine-light.ru/1/645/001645663_800_800.jpg;https://img.divine-light.ru/1/645/001645664_800_800.jpg;https://img.divine-light.ru/1/645/001645659_800_800.jpg;https://img.divine-light.ru/1/645/001645660_800_800.jpg;https://img.divine-light.ru/1/645/001645661_800_800.jpg;https://img.divine-light.ru/1/645/001645662_800_800.jpg;;;;;;;;;
